gene,mean_DFU,mean_Control,log2FC,t,df,P_value,adj_P_value,status_standard,status_relaxed,status_strict
SERPINA3,1.5422320080727956,3.3008281127411463,-1.7585961046683507,-4.935774953482764,43.614835533211945,1.2131664310466306e-05,7.689618039332843e-05,Down,Down,Down
MAOA,1.616281936391678,3.1038104367908548,-1.4875285003991767,-4.928627972550701,43.614835533211945,1.2419664533913632e-05,7.833233521315557e-05,Down,Down,ns
CGN,0.6809267053071274,1.9312751328728344,-1.250348427565707,-4.923903795359796,43.614835533211945,1.2613725662191655e-05,7.939923167321332e-05,Down,Down,ns
GJB4,0.37315434264644354,1.9903864571229049,-1.6172321144764612,-4.921918252161233,43.614835533211945,1.2696178413484915e-05,7.983942963864552e-05,Down,Down,Down
FEN1,3.3007657756218185,2.2713271833946918,1.0294385922271267,4.9202490868055495,43.614835533211945,1.2765904259470773e-05,8.019880641430088e-05,Up,Up,ns
GFPT2,3.7310971086463063,2.593649191857882,1.1374479167884242,4.916648157692754,43.614835533211945,1.2917614424345913e-05,8.09922992889299e-05,Up,Up,ns
CHST11,2.743487085875669,1.6380893353592496,1.1053977505164192,4.91097416905052,43.614835533211945,1.3160280521784529e-05,8.215029735404703e-05,Up,Up,ns
S100A8,10.683976980561201,7.701187603449485,2.9827893771117164,4.904520156477055,43.614835533211945,1.3441775855271842e-05,8.35670380088035e-05,Up,Up,Up
FLG2,2.4439045306076927,5.853469768237853,-3.4095652376301606,-4.904161357341287,43.614835533211945,1.3457598140531601e-05,8.359705264792961e-05,Down,Down,Down
CENPM,2.333617663261056,1.1084332961230736,1.2251843671379825,4.903178547313517,43.614835533211945,1.3501032114060507e-05,8.382602850565416e-05,Up,Up,ns
P4HA3,2.912726851472733,1.2872869771749085,1.6254398742978244,4.903000189837953,43.614835533211945,1.3508929191496932e-05,8.383424524533352e-05,Up,Up,Up
ITGB4,3.8802247039621927,5.386180914925586,-1.5059562109633937,-4.9021503774902,43.614835533211945,1.354661866970197e-05,8.398640150447702e-05,Down,Down,Down
SNED1,2.307284629883708,3.356828607241024,-1.0495439773573159,-4.895394880948942,43.614835533211945,1.3849939106469478e-05,8.569805931333729e-05,Down,Down,ns
SNAI2,5.001076867603697,3.9683398108213668,1.03273705678233,4.8945769288269165,43.614835533211945,1.3887116534716526e-05,8.584701753138141e-05,Up,Up,ns
PRDM1,3.5404951541449488,2.5155763070334904,1.0249188471114583,4.890645272201902,43.614835533211945,1.4067195372335917e-05,8.670804378124695e-05,Up,Up,ns
PSAPL1,0.8880479570002322,3.065384539168973,-2.1773365821687407,-4.890260792175739,43.614835533211945,1.4084928541269193e-05,8.677540757816716e-05,Down,Down,Down
SLC9A3-AS1,1.6488009530796046,3.026294740665425,-1.3774937875858204,-4.8833220975772,43.614835533211945,1.4408772996965524e-05,8.851400868511625e-05,Down,Down,ns
FAAH2,0.7772929101358395,1.7982369468375439,-1.0209440367017044,-4.883062697537,43.614835533211945,1.4421021082622332e-05,8.85465969507379e-05,Down,Down,ns
MMP9,5.398352634286373,2.5483746802247773,2.8499779540615955,4.879029849766109,43.614835533211945,1.4612765556032414e-05,8.963761382206896e-05,Up,Up,Up
BMP1,4.653861104927269,3.4062847142193333,1.2475763907079354,4.873084584628554,43.614835533211945,1.4900029576159213e-05,9.12242329259522e-05,Up,Up,ns
TACC3,3.4742211867429815,2.409907065914688,1.0643141208282936,4.872724740664123,43.614835533211945,1.4917594125307687e-05,9.128794523994671e-05,Up,Up,ns
ITGA5,6.12919063677719,4.599422523217359,1.5297681135598307,4.866926513304997,43.614835533211945,1.5203445077771605e-05,9.277011247694798e-05,Up,Up,Up
FAM180A,1.30733362976479,2.319926537390855,-1.0125929076260651,-4.865591431761793,43.614835533211945,1.527002513213027e-05,9.313181755622064e-05,Down,Down,ns
MIRLET7BHG,2.1909894049209293,3.2501514316806723,-1.059162026759743,-4.852786771612093,43.614835533211945,1.5923363134939805e-05,9.665428370294495e-05,Down,Down,ns
CLEC10A,1.7288692281060387,2.8787952147219285,-1.1499259866158897,-4.848280682029999,43.614835533211945,1.6159770983570354e-05,9.771719267589983e-05,Down,Down,ns
TUBA1B,8.519601076572117,7.419866259030773,1.0997348175413446,4.848341439932213,43.614835533211945,1.6156560487923244e-05,9.771719267589983e-05,Up,Up,ns
LRRC26,0.1948195787162195,1.4380771899858864,-1.243257611269667,-4.846033978383843,43.614835533211945,1.6278931045388134e-05,9.834448489902173e-05,Down,Down,ns
PLXNB1,3.3516413150148088,4.489423002637555,-1.1377816876227458,-4.843935341149373,43.614835533211945,1.639101993777814e-05,9.883436277375159e-05,Down,Down,ns
