NM_015237	BTBD8
NM_001012425	C1orf146
NM_024813	RPAP2
NM_007358	MTF2
NM_206886	CCDC18
NM_001024948	FNBP1L
NR_034091	BCAR3-AS1
NR_030621	MIR760
NR_033998	CNN3-DT
NR_033966	LINC01761
NM_021190	PTBP2
NR_046590	DPYD-AS1
NR_046088	LINC01776
NR_033716	SNX7
NR_033940	PLPPR5-AS1
NM_014839	PLPPR4
NM_017734	PALMD
NM_033055	SLC71A1
NM_019083	TRMT13
NM_001130841	RTCA
NR_030279	MIR553
NM_003672	CDC14A
NM_022049	GPR88
NM_001078	VCAM1
NM_001400	S1PR1
NM_018137	PRMT6
NM_001113226	NTNG1
NR_046653	VAV3-AS1
NM_001144937	FNDC7
NM_007269	STXBP3
NR_034168	SPATA42
NM_013296	GPSM2
NM_020141	TMEM167B
NR_003023	SCARNA2
NM_020775	ELAPOR1
NM_006513	SARS1
NM_001040709	SYPL2
NM_153340	ATXN7L2
NM_001134404	CYB561D1
NM_031936	GPR61
NR_029583	MIR197
NM_004037	AMPD2
NM_000850	GSTM4
NM_000848	GSTM2
NM_000561	GSTM1
NM_000851	GSTM5
NM_000757	CSF1
NM_001242673	AHCYL1
NM_203412	UBL4B
NM_022768	RBM15
NM_032414	PROK1
NR_003599	CYMP
NM_001040033	CD53
NM_018372	LRIF1
NM_006090	CEPT1
NM_004000	CHI3L2
NR_003928	CHIAP2
NM_181643	CIMAP3
NM_174896	C1orf162
NR_038951	INKA2-AS1
NM_007204	DDX20
NM_018704	CTTNBP2NL
NM_014813	LRIG2
NR_037864	AP4B1-AS1
NM_022836	DCLRE1B
NM_198268	HIPK1
NM_020190	OLFML3
NM_003176	SYCP1
NM_152367	MAB21L3
NR_031564	MIR320B1
NM_001767	CD2
NM_020440	PTGFRN
NM_004258	CD101
NM_017686	GDAP2
NM_006784	WDR3
NM_001005783	HAO2
NM_006623	PHGDH
NR_003955	EMBP1
NR_036061	MIR3118-1
NR_033189	PDE4DIPP6
NR_034178	SRGAP2B
NM_004892	SEC22B
NM_203458	NOTCH2NLA
NM_213653	HJV
NM_006472	TXNIP
NM_001039888	ANKRD34A
NM_153713	LIX1L
NM_005105	RBM8A
NM_003846	PEX11B
NM_144698	ANKRD35
NM_014455	RNF115
NM_002614	PDZK1
NM_001097612	GPHRA
NM_004284	CHD1L
NM_004326	BCL9
NM_016334	GPHRB
NR_027354	LSP1P5
NM_016074	BOLA1
NM_007259	VPS45
NM_012113	CA14
NM_024579	C1orf54
NM_018997	MRPS21
NM_004698	PRPF3
NM_015203	RPRD2
NM_004425	ECM1
NR_051960	FALEC
NM_019032	ADAMTSL4
NM_181746	CERS2
NM_003568	ANXA9
NM_021222	PRUNE1
NM_001159642	BNIPL
NM_020832	ZNF687
NM_020770	CGN
NM_020127	TUFT1
NR_030280	MIR554
NM_030918	SNX27
NM_001144956	RIIAD1
NM_016178	OAZ3
NR_024237	C2CD4D-AS1
NM_178438	LCE5A
NM_019060	CRCT1
NM_178434	LCE3C
NM_178433	LCE3B
NM_178430	LCE2D
NM_178429	LCE2C
NM_014357	LCE2B
NM_178428	LCE2A
NM_178356	LCE4A
NM_001024679	KPLCE
NM_001025231	KPRP
NM_178354	LCE1F
NM_178353	LCE1E
NM_178349	LCE1B
NM_178348	LCE1A
NM_001128600	LCE6A
NM_030663	SMCP
NM_005547	IVL
NM_173080	SPRR4
NM_001199828	SPRR1A
NM_005416	SPRR3
NM_003125	SPRR1B
NM_001010857	LELP1
NM_001195571	PRR9
NM_000427	LORICRIN
NM_002965	S100A9
NM_176823	S100A7A
NM_006271	S100A1
NM_015607	CHTOP
NM_012437	SNAPIN
NM_000906	NPR1
NM_023015	INTS3
NM_130898	CREB3L4
NM_014847	UBAP2L
NM_006118	HAX1
NM_080429	AQP10
NM_000565	IL6R
NM_001098475	TDRD10
NR_024163	CKS1B
NR_036212	MIR4258
NM_025207	FLAD1
NM_018655	LENEP
NM_001252406	ZBTB7B
NM_152494	DCST1
NR_048577	ADAM15
NM_005227	EFNA4
NM_004952	EFNA3
NM_004428	EFNA1
NR_046327	TRIM46
NR_030281	MIR92B
NM_002455	MTX1
NM_020897	HCN3
NM_002004	FDPS
NM_001105203	RUSC1
NR_034180	POU5F1P4
NR_027023	ASH1L-AS1
NR_046294	MSTO1
NM_033657	DAP3
NM_152280	SYT11
NM_181885	RXFP4
NM_001093725	MEX3A
NM_170707	LMNA
NM_001199662	PMF1-BGLAP
NM_032323	TMEM79
NM_144627	TSACC
NM_001105669	TTC24
NM_144772	NAXE
NM_021817	HAPLN2
NM_021948	BCAN
NM_015997	METTL25B
NM_005973	PRCC
NM_001080471	PEAR1
NM_144702	LRRC71
NM_018240	KIRREL1
NM_001766	CD1D
NM_001763	CD1A
NM_001765	CD1C
NM_030893	CD1E
NM_002432	MNDA
NM_021189	CADM3
NM_017823	DUSP23
NM_001004310	FCRL6
NM_020125	SLAMF8
NR_038849	LINC01133
NM_003768	PEA15
NR_002190	SUMO1P3
NM_015331	NCSTN
NM_005598	NHLH1
NM_021181	SLAMF7
NM_001033667	LY9
NM_152366	KLHDC9
NM_001185093	NIT1
NM_016406	UFC1
NM_001014443	USP21
NM_001122764	PPOX
NM_032174	TOMM40L
NM_001102566	PCP4L1
NM_002155	HSPA6
NR_024151	HSPA7
NM_001184866	FCRLA
NM_001002901	FCRLB
NM_007240	DUSP12
NM_007348	ATF6
NM_014697	NOS1AP
NR_030283	MIR556
NM_001085375	C1orf226
NM_175866	UHMK1
NM_003115	UAP1
NM_001014796	DDR2
NM_016371	HSD17B7
NM_001102445	RGS4
NM_002585	PBX1
NM_001005214	LRRC52
NM_004528	MGST3
NR_036683	CA14P1
NM_012474	UCK2
NR_002925	FMO9P
NM_017542	POGK
NM_032858	MAEL
NM_001080426	STYXL2
NR_037163	POU2F1
NM_052862	RCSD1
NM_003953	MPZL1
NM_001198956	DCAF6
NM_199344	SFT2D2
NM_005149	TBX19
NR_030284	MIR557
NM_002995	XCL1
NR_024160	LINC00626
NM_003666	BLZF1
NM_014970	KIFAP3
NM_001136107	NTMT2
NR_036064	MIR3119-1
NM_006902	PRRX1
NM_001163629	MROH9
NM_006894	FMO3
NR_002601	FMO6P
NM_001460	FMO2
NM_002021	FMO1
NM_002022	FMO4
NR_002719	TOP1P1
NM_015172	PRRC2C
NM_015935	METTL13
NM_015569	DNM3
NR_029627	MIR214
NM_139240	C1orf105
NM_014283	SUCO
NM_004905	PRDX6
NM_001195190	TEX50
NM_014458	KLHL20
NR_037605	GAS5-AS1
NM_001122770	ZBTB37
NM_014857	RABGAP1L
NM_005684	GPR52
NM_014412	CACYBP
NM_022093	TNN
NM_001162893	KIAA0040
NM_020318	PAPPA2
NM_170692	RASAL2
NM_032126	TEX35
NR_033186	C1orf220
NR_039622	MIR4424
NM_152663	RALGPS2
NM_007314	ABL2
NM_003101	SOAT1
NM_144696	AXDND1
NM_001199085	TDRD5
NM_001267578	TOR1AIP1
NM_014810	CEP350
NM_002826	QSOX1
NM_033343	LHX4
NM_004736	XPR1
NM_020950	KIAA1614
NM_016545	IER5
NR_046249	LINC01699
NR_034131	LINC00272
NM_001137669	RGSL1
NR_036490	LINC01686
NM_030769	NPL
NR_033302	DHX9
NM_015149	RGL1
NR_023349	TSEN15
NM_030806	C1orf21
NM_007212	RNF2
NM_017673	SWT1
NM_031935	HMCN1
NM_005807	PRG4
NM_017847	ODR4
NR_033922	LINC01720
NM_130782	RGS18
NM_001039152	RGS21
NM_002922	RGS1
NM_002927	RGS13
NR_031691	MIR1278
NM_000186	CFH
NM_021023	CFHR3
NM_001201550	CFHR4
NM_005666	CFHR2
NM_030787	CFHR5
NR_047564	CRB1
NM_001024594	C1orf53
NM_020204	LHX9
NM_133494	NEK7
NM_005298	GPR25
NM_018265	INAVA
NM_000299	PKP1
NR_026667	RPS10P7
NM_020443	NAV1
NR_031599	MIR1231
NM_018085	IPO9
NM_198149	SHISA4
NM_012134	LMOD1
NM_006335	TIMM17A
NM_020216	RNPEP
NM_004767	GPR37L1
NM_001017403	LGR6
NR_046325	PCAT6
NR_038135	MGAT4EP
NR_002929	ACTG1P25
NM_000674	ADORA1
NM_002725	PRELP
NM_014359	OPTC
NM_017773	LAX1
NM_014827	ZC3H11A
NM_003094	SNRPE
NM_005686	SOX13
NM_018208	ETNK2
NM_002393	MDM4
NM_001005388	NFASC
NM_005076	CNTN2
NM_014858	TMCC2
NR_038425	LEMD1-AS1
NM_212503	CDK18
NM_181644	SLC60A1
NM_022731	NUCKS1
NM_000707	AVPR1B
NM_001910	CTSE
NM_015326	SRGAP2
NM_182663	RASSF5
NM_001004023	DYRK3
NM_004759	MAPKAPK2
NM_153758	IL19
NM_018724	IL20
NM_006850	IL24
NM_001006658	CR2
NM_000573	CR1
NM_175710	CR1L
NR_026817	LOC148696
NR_029622	MIR205
NM_020439	CAMK1G
NM_015714	G0S2
NM_005525	HSD11B1
NM_025228	TRAF3IP3
NM_014388	UTP25
NM_001146261	SYT14
NM_019605	SERTAD4
NM_018194	HHAT
NM_001136223	RCOR3
NM_004619	TRAF5
NR_026761	LINC00467
NM_183059	RD3
NM_016448	DTL
NR_036068	MIR3122
NM_013349	NENF
NM_001040619	ATF3
NM_001042552	TATDN3
NM_014053	FLVCR1
NM_001136474	VASH2
NM_002763	PROX1
NM_020197	SMYD2
NM_016121	KCTD3
NM_138796	SPATA17
NR_048550	LINC00210
NM_016052	RRP15
NM_138794	LYPLAL1
NM_018650	MARK1
NM_024709	C1orf115
NM_017898	MTARC2
NM_022746	MTARC1
NM_021958	HLX
NM_144695	BROX
NM_032890	DISP1
NM_152610	CCDC185
NM_015176	FBXO28
NM_014184	CNIH4
NM_152495	CNIH3
NM_001130440	SRP9
NM_031944	MIXL1
NM_001003665	STUM
NM_000447	PSEN2
NM_020247	COQ8A
NM_014826	CDC42BPA
NM_001024226	ARF1
NR_037415	MIR3620
NM_001159390	GUK1
NR_039812	MIR4666A
NM_001010858	RNF187
NM_021205	RHOU
NM_014777	URB2
NM_004481	GALNT2
NM_007357	COG2
