gene,GSM4448287,GSM4448288,GSM4448289,GSM4448290,GSM4448291,GSM4448292,GSM4448293,GSM4448300,GSM4448301,GSM4448302,GSM4448303,GSM4448304,GSM4448305
FOXO4,2.3424289910769227,2.4111516154615384,2.450989084846154,2.391487816153846,2.035398156,2.4113082517692304,2.251470147,2.2579650306153844,2.2621091134615385,2.4184151310000006,2.0977553565384617,2.3009212261538465,1.7759696414615385
WDCP,2.8319447362307693,3.1271465790769235,2.7190802435384613,2.7220729528461542,2.6741397786153844,2.497545462615385,2.87086350823077,2.795795178538462,3.2407873883846157,2.7224511290769233,2.9441293843076926,2.8623911133846156,2.8297557086153846
CALCA,1.8449001899999997,1.7034947184615388,2.0024693929230772,1.762091846923077,1.8745792493846154,1.8406015796153845,1.9959284543076925,1.8666388913076923,2.3023650049999995,2.004279266615385,1.8922619717692308,2.252809812076923,2.249805443153847
GID4,2.218732346230769,1.9889415583076924,2.0024693929230772,2.1465580751538464,2.1446202891538464,2.0143967046923077,2.0409992270769233,1.921546192076923,2.2211343675384616,2.1107768380769234,2.3568238399230768,2.1457249729230767,1.5591036983846154
ALG12,2.626121464461539,2.845344494846154,2.4437283466153845,2.283445321307692,2.4530436472307695,2.4291231344615385,2.4773844904615383,2.3566089251538465,2.2775769092307687,2.6066969636153847,2.5215412416923075,2.4854233601538462,2.052030610538462
RITA1,4.148238331153847,4.25209724223077,4.2383069,4.219766018846155,4.155284447615385,4.297561214538461,4.328121351153846,4.582969589923077,4.7633111370000005,4.162193742461538,4.186760031538461,4.482711832846155,4.135663292692308
LOC100507424,2.207477641384615,2.4177900138461537,2.171456333769231,2.501415864615385,2.0585024590769225,2.4653141773076923,2.485059181769231,2.0848450984615385,2.0049009165384613,2.424501070923077,2.1181042461538464,2.427060967846154,2.515558841
LUZP1,4.378516588538462,4.385352812,4.390961932769231,4.190752187615384,4.122504370538461,4.344177334076923,4.210084048538461,4.558581305615385,4.767246585461539,4.660809179538462,4.327483013461538,4.520294048999999,4.208419930692308
MT1X,9.290840765153847,9.314714259615386,9.499072057461538,8.805538163692308,9.350682206615385,9.46024450423077,9.257210307615384,9.304524727153845,9.454322930384617,9.406791743769231,9.402977329923077,9.044347243153847,9.159324274153846
VGLL4,5.389194602153846,4.975784413769231,5.37196778576923,5.578444795307693,5.528184254230769,5.624028789692308,5.561164202615386,5.642972202230769,5.552787006769232,5.273550543538462,5.6079752630769235,5.260181091153846,5.381496493307693
ST20,1.2991460925384617,1.3202320130769232,1.3632190751538462,1.5942831080000002,1.356211215923077,1.4779298493076922,1.6056709460000003,1.5764115688461542,0.8786640425384616,1.4562244522307688,1.4655921127692306,1.356903563230769,1.228919086076923
IFNGR2,6.599646098384616,6.366866783615384,6.962956899153847,6.505597348692307,6.582175375846154,6.855042890230769,6.60448154823077,6.794139943076924,6.989409096384616,6.729463234,6.850169221076924,6.887905822923077,6.895943449615384
SLC23A2,4.163237587846154,4.2148253322307685,4.438753155538462,4.056603445846154,4.4565602676153855,4.2814410789999995,3.9889465854615382,4.244903902538462,4.447973900153847,4.577926646923077,4.297040837307692,4.637827350076924,4.24715725576923
MAGED2,4.983753715076924,5.241463848307692,5.016585246,5.306216381153846,4.897333154923077,4.998449767384615,5.359884329,5.346428679769231,5.022515744230769,4.832104888692308,4.858942674846154,5.053856500769232,4.845466236076923
