gene,GSM2114231,GSM2114232,GSM2114233,GSM2114234,GSM2114235,GSM2114236,GSM2114237,GSM2114238,GSM2114239,GSM2114240,GSM2114241,GSM2114242
PCBP1,11.104775000000002,9.443123333333334,11.886441666666665,11.061533333333331,10.2420025,11.102541666666667,10.387268333333333,9.733305,10.049849166666668,9.95144,9.970595,9.97614416666667
RRN3P1,4.751967499999999,4.2298583333333335,3.261325833333333,3.589283333333334,4.0054825,4.2383875,4.837276666666667,3.9262208333333333,5.360928333333334,4.8466491666666665,5.193685833333333,5.555110833333334
HNRNPLL,6.931281666666666,4.731583333333334,6.0391458333333325,7.036569166666667,5.997221666666667,6.705596666666666,6.739497499999999,7.0457583333333345,6.878375833333332,7.174821666666666,7.044835833333334,7.242395833333334
IGFBP3,6.708739166666667,6.449219166666668,8.369413333333332,7.078288333333333,7.821000000000001,7.866871666666668,5.974470833333334,7.267789166666666,6.2082525,7.160161666666667,6.718504166666666,6.601336666666666
OPTC,6.225790000000001,8.221123333333333,6.630825000000001,6.357125,6.2345125,6.266319166666666,5.801531666666666,6.017084166666667,5.6081875000000005,5.899825833333335,5.5619216666666675,5.597221666666666
MAFB,10.088564166666666,8.524993333333335,10.493966666666667,10.240584166666666,10.107469166666666,10.553608333333331,8.651548333333333,9.525844166666667,9.468340833333333,8.655514166666666,9.409054166666667,9.911865
NMRK1,6.145835833333334,4.2063825,6.678115833333333,6.685814166666667,6.441111666666667,6.6530458333333335,6.7224441666666666,6.54714,6.903474166666666,6.434047499999999,6.871123333333334,6.3988775
ASAP1-IT1,6.348129166666667,5.926710833333334,5.258144166666667,6.030271666666668,7.393297500000002,7.013257499999999,7.504955,6.898231666666668,7.5242466666666665,7.224005000000001,7.069405000000001,7.104079166666666
DDX19A-DT,4.147467499999999,3.7978241666666666,4.769508333333333,4.473185833333333,4.399604166666666,4.5382058333333335,5.43471,6.091209999999999,5.049821666666666,5.303258333333333,5.6381525,5.8710691666666674
UACA,8.096425833333333,6.168353333333333,7.563766666666669,8.0536725,8.597609166666668,8.1515925,8.873980833333334,8.702172500000001,8.601336666666667,8.480690833333334,8.3721875,8.307041666666665
PSAP,10.926066666666669,8.353259166666668,10.532833333333333,10.989591666666668,10.877525,10.757874999999999,10.695733333333335,10.599875000000003,10.803191666666665,10.575358333333332,10.882075,10.995175000000001
SEC11C,7.727783333333332,5.978081666666665,8.031236666666665,8.295377499999999,6.582178333333332,7.519423333333333,7.051403333333332,8.1589025,7.321512500000001,8.234644999999999,8.117183333333335,7.493400833333333
ACER3,7.781215833333332,5.453755,7.497280833333332,7.752066666666668,8.1911325,8.313945,7.757728333333333,7.3291575,7.538798333333333,7.4277541666666655,7.1988625,7.660948333333335
ELF4,8.005090833333332,5.346884166666666,7.5856825,7.821711666666666,7.155585833333334,8.248514166666668,7.231529166666667,7.043124166666668,7.317360833333335,7.300372500000002,7.318983333333333,7.481606666666667
PRMT6,6.542720833333333,4.567434166666668,5.468545833333333,7.1915258333333325,5.09606,5.176715833333334,6.3303183333333335,5.5801750000000006,6.051215833333334,5.987520833333334,6.292205833333334,6.038568333333333
TPM1,7.433145,6.994491666666668,6.498960833333334,6.704204166666667,6.831166666666667,6.974023333333334,8.295164166666666,8.266992499999999,8.166790833333334,7.986912499999999,8.394404166666668,8.132123333333334
DPY19L4,7.9965808333333355,6.529171666666667,6.804360833333333,7.942431666666667,7.230148333333332,7.185580833333333,8.149864166666665,8.385475833333333,8.238478333333335,8.635276666666668,8.375418333333334,8.604925
GOLGA1,6.919249999999999,5.571111666666667,7.5534991666666675,7.451925833333333,6.865729166666665,6.889955833333334,7.702786666666666,8.004289166666668,7.939403333333334,7.843475000000001,7.986912499999999,7.897479166666666
LENG8,8.661816666666665,7.96011,7.959910000000001,8.411505,9.31555,9.560046666666663,9.732474166666664,9.500653333333332,9.692385833333333,9.733961666666666,9.803018333333336,9.741859166666666
ALPK1,6.556658333333332,7.132519166666667,6.151855,6.771306666666667,6.416605,6.9070800000000006,7.901229166666666,8.141285833333333,7.705674999999999,7.956013333333332,7.910462499999999,8.027400833333335
RSRC2,7.4948275,6.637031666666666,7.7535066666666665,6.945485833333333,8.850403333333333,8.278971666666665,8.691995,8.628946666666666,8.574040833333333,8.37239,8.338989999999999,8.474319166666668
