Threshold,Test_TreatAll,Test_TreatNone,Test_LR,Test_RF,Test_XGBoost,Test_SVM,Test_LightGBM,Test_ANN,Test_Stacking,External_TreatAll,External_TreatNone,External_LR,External_RF,External_XGBoost,External_SVM,External_LightGBM,External_ANN,External_Stacking
0.1819597989949749,-0.0760640352527284,0.0,0.06354508166807246,0.07922621441668395,0.08090530672028978,0.0742300775053748,0.08294219780584121,0.07260809534870805,0.08098605718405949,0.032239900075762246,0.0,0.15125627086020843,0.16043880664250465,0.16193122018141984,0.14674268484960173,0.1614701967770338,0.14637672256690626,0.16368977414665112
0.1849246231155779,-0.07997820159550956,0.0,0.06324742949945392,0.07896097281926784,0.08070511607830992,0.07430194763416426,0.08243119935020167,0.07246163494354674,0.08077284103012361,0.028719687628442292,0.0,0.1509823263460748,0.16068742293464858,0.1616533086724209,0.1465834360871352,0.16058877928483353,0.1461210439786272,0.16339704069050556
0.1878894472361809,-0.0839209473348905,0.0,0.06305370861872311,0.07921278495447143,0.08033937884874172,0.07413623590939133,0.08246008882017958,0.07231945229995379,0.08064813123691664,0.025173772250067034,0.0,0.1507246354392261,0.16038379431965843,0.16054003465132108,0.14559577583895386,0.1603536291071097,0.14586349854588207,0.16329496937070725
0.19085427135678393,-0.08789258662769628,0.0,0.06225744783995802,0.07880233122049062,0.07977753138280264,0.07389099179657549,0.08187465289591742,0.07172906008705669,0.08053055764375777,0.02160187140313835,0.0,0.1494534840392498,0.15988748809671674,0.160014387446694,0.14544642487475676,0.1603133151161346,0.1456040657475262,0.16212126857947254
0.19381909547738693,-0.09189343825214522,0.0,0.061298118319100904,0.07892243915239419,0.07984989443762602,0.07382539505635179,0.08120226506788455,0.07105167951573207,0.08042019898326616,0.01800369839389976,0.0,0.14962574539259074,0.15978822539425294,0.16014237777639262,0.14510175777597706,0.16047918095119365,0.14554307174468617,0.16140835047476573
0.19678391959798996,-0.09592382569314098,0.0,0.06107022438036718,0.078698892961068,0.07966718091214614,0.07359070898067603,0.08098349173047087,0.07073816768067957,0.08031713515052952,0.014378962295628961,0.0,0.14880922589255924,0.1597005338672005,0.16007945445445446,0.1449587087087087,0.16086273773773774,0.14528361695028363,0.16113363363363364
0.19974874371859297,-0.09998407722946093,0.0,0.06058815380361648,0.07822391554148629,0.07948853991643133,0.07372530174225002,0.08085720838767865,0.07060512851170381,0.08022144722463811,0.010727367870225019,0.0,0.14840266875981162,0.15941653584510726,0.16023024594453167,0.14461276818419674,0.15918498168498169,0.1450222396650968,0.16106488749345893
0.20271356783919597,-0.10407452602288952,0.0,0.06011611434707454,0.07794171277824169,0.07940711625369612,0.0730455721187095,0.08073543240641841,0.07038967833082845,0.07930778564139997,0.007048615488045751,0.0,0.1477936047733098,0.1599841379889911,0.16018267574267825,0.14426425480062188,0.159180007563343,0.14475891844195135,0.16121370645825456
0.205678391959799,-0.10819551020934809,0.0,0.06003347269518019,0.07758387823349842,0.07923847151412208,0.07292202859756709,0.08061821425818952,0.07008111878275751,0.0783034237342577,0.0033424010459500997,0.0,0.14613710170599525,0.15993974188650595,0.16035675122835874,0.14412891967693636,0.15918121718226103,0.14470941144218807,0.16116029818013117
0.208643216080402,-0.11234737299207298,0.0,0.05987836435577668,0.07677986135906362,0.07890096556465541,0.07280579043032859,0.07967673203746262,0.06977024719336879,0.07832172163795079,-0.0003915841165015588,0.0,0.14596689526712386,0.15990750148166963,0.16010519854373043,0.14360490220980443,0.15646896960460588,0.1444460672254678,0.16089302345271358
0.21160804020100504,-0.11653046273689624,0.0,0.05935099863912376,0.0763282850128408,0.07818156836919304,0.0727952207428822,0.07937048253867356,0.06945703747869816,0.07805633106655994,-0.004153653302738619,0.0,0.14453353729789448,0.1598875539125077,0.15901842054942955,0.14371167697112627,0.15625512567191452,0.14418074234601738,0.16084740901268405
0.21457286432160805,-0.12074513306968429,0.0,0.05903077694010125,0.07627619945213285,0.07755953832598542,0.07232942873146943,0.07869575474405496,0.06944156485816153,0.07799176910770465,-0.007944124546811676,0.0,0.14416293452761783,0.15988003838771592,0.15899072296865005,0.14254318618042225,0.15649498827042013,0.1443687353380252,0.16058008104073362
0.21753768844221105,-0.12499174297599161,0.0,0.058317576301662656,0.07576962694900746,0.07693834417561814,0.07203377185724498,0.07889385672945752,0.06933249923967183,0.0780368428940363,-0.011763320703016278,0.0,0.1438021535760923,0.16034845760280864,0.1589691306488558,0.14220548883608417,0.15651761822190824,0.14410742191681117,0.16077408858347783
0.22050251256281408,-0.12927065690298903,0.0,0.05791526206946433,0.07537670839023011,0.07689132227557871,0.0720493922188069,0.07879665196777058,0.06933175511088945,0.07767908012393378,-0.015611569537562292,0.0,0.14392276946879834,0.15930526903902353,0.15871798177754856,0.14210095410005155,0.15631102802131683,0.1438441206807633,0.16051078734742996
0.2234673366834171,-0.13358224486372647,0.0,0.05731310848361421,0.07468144449441821,0.07648616327374655,0.07092248846225653,0.07823275704269331,0.06912864590786301,0.07752933304832411,-0.01948920382234301,0.0,0.14335032032615025,0.1580270281930154,0.15894454151297482,0.1409288379818374,0.15634267348303457,0.1435788088612783,0.16048528872495094
0.2264321608040201,-0.137926882543794,0.0,0.05682194059353565,0.07446261881314281,0.07666965406685958,0.0706320737173466,0.07788451534494388,0.06903396763931526,0.0772768706292384,-0.02339656143086047,0.0,0.14253594474037504,0.15782263652505307,0.15869776103243688,0.13999805118877484,0.15613702308258628,0.14331146334069553,0.16022205621237712
