PC1,PC2,PC3,batch,group,dataset,sample,var_PC1,var_PC2,var_PC3,stage
-46.72892092639175,-2.3584066862300883,-1.3295888237201767,1,DFU,GSE134431,Sample19_P2#01,0.7515598335619592,0.09898345452764691,0.042709818704505284,pre
-45.48075153505532,-7.440032686747038,1.2773593598135176,1,DFU,GSE134431,Sample20_P2#03,0.7515598335619592,0.09898345452764691,0.042709818704505284,pre
-31.471454241750507,-8.077396145317689,-4.825429984424284,1,DFU,GSE134431,Sample22_P2#21,0.7515598335619592,0.09898345452764691,0.042709818704505284,pre
-32.978752806380015,2.519556834096227,-10.898297053082203,1,Control,GSE134431,Sample01_DFS11,0.7515598335619592,0.09898345452764691,0.042709818704505284,pre
45.46241170015716,-17.126563349921746,5.409608778327886,2,DFU,GSE199939,DW1,0.7515598335619592,0.09898345452764691,0.042709818704505284,pre
44.76122590627241,-14.211784512552454,2.583253736426254,2,DFU,GSE199939,DW2,0.7515598335619592,0.09898345452764691,0.042709818704505284,pre
43.67529091861175,-18.98342531320902,6.276349763002598,2,DFU,GSE199939,DW3,0.7515598335619592,0.09898345452764691,0.042709818704505284,pre
44.80919191159803,-9.91342072647507,-5.744001282456793,2,DFU,GSE199939,DW4,0.7515598335619592,0.09898345452764691,0.042709818704505284,pre
42.38849998107138,-15.943731582041947,3.692464630303045,2,DFU,GSE199939,DW5,0.7515598335619592,0.09898345452764691,0.042709818704505284,pre
42.098149400012595,-17.910054242292194,3.699963615127777,2,DFU,GSE199939,DW6,0.7515598335619592,0.09898345452764691,0.042709818704505284,pre
43.61624437538674,-17.688839425031954,4.1392224490524105,2,DFU,GSE199939,DW7,0.7515598335619592,0.09898345452764691,0.042709818704505284,pre
44.44665398948315,-19.137554638862106,6.849444058218965,2,DFU,GSE199939,DW8,0.7515598335619592,0.09898345452764691,0.042709818704505284,pre
42.666808030298846,-18.270846816689055,4.743750130752154,2,DFU,GSE199939,DW9,0.7515598335619592,0.09898345452764691,0.042709818704505284,pre
41.69475833281518,-16.57494601765537,1.7587411116528564,2,DFU,GSE199939,DW10,0.7515598335619592,0.09898345452764691,0.042709818704505284,pre
40.28054783301717,3.5653601928834338,-22.50575857576576,2,Control,GSE199939,N1,0.7515598335619592,0.09898345452764691,0.042709818704505284,pre
