gene,mean_DFU,mean_Control,log2FC,t,df,P_value,adj_P_value,var_pooled,var_post,status_relaxed,status_standard,status_strict
ZNF423,1.5211262225213853,2.0948880441226017,-0.5737618216012164,-4.751481882198363,43.614835533211945,2.216087662776367e-05,0.00012765025277049235,0.15009259279472556,0.15171806138675267,ns,ns,ns
ERRFI1,5.105062038349529,3.9812721297095295,1.1237899086399996,4.7502258626475475,43.614835533211945,2.225164687374992e-05,0.00012811523818552267,0.6196262133446462,0.5823363267633389,Up,Up,ns
NAPB,1.4706382644652134,1.889601913514928,-0.4189636490497146,-4.749547247332531,43.614835533211945,2.2300841299394136e-05,0.0001283405365934898,0.07294207680665762,0.08096184731888657,ns,ns,ns
METRNL,6.541323885598082,5.705934078578667,0.835389807019415,4.748876306947187,43.614835533211945,2.2349584560821256e-05,0.00012856303649262673,0.3357411561530559,0.32197991021749023,Up,ns,ns
NHLRC3,2.2050677678438544,2.8168949595132227,-0.6118271916693683,-4.748677965950197,43.614835533211945,2.236401393518328e-05,0.00012858803864535274,0.17299320169812749,0.17272064789057062,Down,ns,ns
CC2D1A,3.2475634961013644,3.8124508429626953,-0.5648873468613309,-4.747343830456323,43.614835533211945,2.2461311236510184e-05,0.00012908927543903306,0.14529439543218217,0.14731754279817322,ns,ns,ns
ZNF106,2.763545087723401,3.414753880176388,-0.6512087924529868,-4.746183700194522,43.614835533211945,2.254625699027457e-05,0.0001295191060346719,0.1982422763869749,0.1958770572913312,Down,ns,ns
GK,2.8723633539064743,1.7694199647004127,1.1029433892060616,4.744701579487458,43.614835533211945,2.2655239176883057e-05,0.00013008656696208447,0.5977124167584831,0.5622387647129434,Up,Up,ns
ZFYVE27,2.8225447818391465,3.243836158649225,-0.42129137681007833,-4.740230124114821,43.614835533211945,2.298718128712629e-05,0.00013193317864748947,0.07427697914359739,0.08218611178818465,ns,ns,ns
EFNA5,1.6929609931920226,2.587505947481101,-0.8945449542890782,-4.74008479211315,43.614835533211945,2.299805003724842e-05,0.00013193618179263567,0.3887168014586841,0.37056488792791925,Down,ns,ns
P2RY6,2.0224329059199966,0.9004812580843223,1.1219516478356741,4.739893071693006,43.614835533211945,2.301239571056435e-05,0.00013195911982771005,0.6203129558594531,0.5829661514607486,Up,Up,ns
ARHGAP33,1.204618263739876,1.9739960272125625,-0.7693777634726866,-4.739342812216211,43.614835533211945,2.305361834498143e-05,0.00013213608752968457,0.28364864008596385,0.27420486722559406,Down,ns,ns
ADGRL3,0.5715438420652272,1.3984026125808944,-0.8268587705156671,-4.738612091232149,43.614835533211945,2.3108472553490245e-05,0.0001323909930254542,0.3300989644748615,0.3168053482967897,Down,ns,ns
