gene,mean_DFU,mean_Control,log2FC,t,df,P_value,adj_P_value,var_pooled,var_post,status_relaxed,status_standard,status_strict
PSAPL1,0.8880479570002322,3.065384539168973,-2.1773365821687407,-4.890260792175739,43.614835533211945,1.4084928541269193e-05,8.677540757816716e-05,2.2336845427608845,2.0626200968921156,Down,Down,Down
CLTA,6.528397936183683,5.923619459542901,0.6047784766407815,4.888996018616989,43.614835533211945,1.4143418682444064e-05,8.70936834655766e-05,0.15826761669885916,0.159215532193821,Up,ns,ns
KREMEN2,0.31374023993839656,1.057907939792696,-0.7441676998542994,-4.8871496895741675,43.614835533211945,1.4229233405771424e-05,8.757983283002074e-05,0.24771268884554054,0.24124731890416687,Down,ns,ns
SLC35E4,2.0991154284854057,1.4938495709940884,0.6052658574913172,4.886574035326353,43.614835533211945,1.4256093823439286e-05,8.770282900642606e-05,0.1587199490056711,0.159630374805315,Up,ns,ns
INTS13,3.0727883227259745,2.5038776640838423,0.5689106586421322,4.885758776081674,43.614835533211945,1.4294219929267271e-05,8.789497915040767e-05,0.13848989986145507,0.1410770097432721,ns,ns,ns
HSD17B7P2,0.7394487553600853,1.182254155084366,-0.4428053997242807,-4.884217933139917,43.614835533211945,1.4366553169331553e-05,8.829718196071581e-05,0.07791219738058727,0.08552003997344329,ns,ns,ns
SLC9A3-AS1,1.6488009530796046,3.026294740665425,-1.3774937875858204,-4.8833220975772,43.614835533211945,1.4408772996965524e-05,8.851400868511625e-05,0.887387556116608,0.827905376375429,Down,Down,ns
FAAH2,0.7772929101358395,1.7982369468375439,-1.0209440367017044,-4.883062697537,43.614835533211945,1.4421021082622332e-05,8.85465969507379e-05,0.48059967187558617,0.4548324260658859,Down,Down,ns
CUTALP,1.6315222880525548,2.23235249116015,-0.6008302031075952,-4.879345975058081,43.614835533211945,1.4597644809155597e-05,8.958795199767147e-05,0.15668669984674932,0.15776564310651173,Down,ns,ns
MMP9,5.398352634286373,2.5483746802247773,2.8499779540615955,4.879029849766109,43.614835533211945,1.4612765556032414e-05,8.963761382206896e-05,3.8556571635957555,3.550162215077812,Up,Up,Up
RASGRP3,2.463844062643678,1.6412081292066074,0.8226359334370708,4.877375005386773,43.614835533211945,1.4692171582453284e-05,9.00813770149167e-05,0.3074011495583345,0.29598874803769387,Up,ns,ns
MED23,2.549512611603417,3.050737534746079,-0.501224923142662,-4.874070111077162,43.614835533211945,1.4852028793477245e-05,9.097402651451263e-05,0.10463791927282448,0.11003071077203981,ns,ns,ns
AMER1,0.8381035388742819,1.198156914435101,-0.36005337556081907,-4.874085652282348,43.614835533211945,1.4851273069993454e-05,9.097402651451263e-05,0.04657264476706982,0.056777936759821936,ns,ns,ns
BMP1,4.653861104927269,3.4062847142193333,1.2475763907079354,4.873084584628554,43.614835533211945,1.4900029576159213e-05,9.12242329259522e-05,0.7282523501868565,0.6819594348312288,Up,Up,ns
TACC3,3.4742211867429815,2.409907065914688,1.0643141208282936,4.872724740664123,43.614835533211945,1.4917594125307687e-05,9.128794523994671e-05,0.5259190888005559,0.49639573026815426,Up,Up,ns
STX17-AS1,0.9253251168974017,1.477215748381584,-0.5518906314841823,-4.871489563546686,43.614835533211945,1.4978040479673993e-05,9.161388500589086e-05,0.13027285866809085,0.1335410040764782,ns,ns,ns
ANGPT2,2.685678936992798,1.7342954462825666,0.9513834907102312,4.870590220819556,43.614835533211945,1.5022203808889856e-05,9.183996412980457e-05,0.41753058854934916,0.39699056326375665,Up,ns,ns
HOXD4,1.0474063583540854,1.778223945254147,-0.7308175869000617,-4.867475777981013,43.614835533211945,1.5176136591854572e-05,9.269217909766348e-05,0.24041430316398588,0.23455382978072667,Down,ns,ns
CACNB1,1.4181504531681086,2.1887149476400225,-0.7705644944719139,-4.8675710802821905,43.614835533211945,1.5171403252134397e-05,9.269217909766348e-05,0.26897863878282724,0.26075072839985836,Down,ns,ns
SCAPER,2.091573140865467,2.7845772942858082,-0.693004153420341,-4.86727015041105,43.614835533211945,1.5186354370477773e-05,9.271018539334755e-05,0.21465268887804748,0.2109273605108184,Down,ns,ns
ITGA5,6.12919063677719,4.599422523217359,1.5297681135598307,4.866926513304997,43.614835533211945,1.5203445077771605e-05,9.277011247694798e-05,1.1055150011105133,1.0279542288607766,Up,Up,Up
FAM180A,1.30733362976479,2.319926537390855,-1.0125929076260651,-4.865591431761793,43.614835533211945,1.527002513213027e-05,9.313181755622064e-05,0.4760293848078696,0.45064092836851516,Down,Down,ns
NUTM2D,1.265649703242419,1.8437280460939325,-0.5780783428515135,-4.863678315458094,43.614835533211945,1.5365932839905838e-05,9.367196056755218e-05,0.14493284944155238,0.14698596205395192,ns,ns,ns
TRIM59,1.6219232683088343,0.8991806601469308,0.7227426081619035,4.860788104149275,43.614835533211945,1.5511951053648332e-05,9.451691915297524e-05,0.23548257822705027,0.2300308504993487,Up,ns,ns
ROBO2,0.4024039551671827,1.3040962576131616,-0.9016923024459789,-4.859618517769226,43.614835533211945,1.5571428415350752e-05,9.48118557252211e-05,0.3752515147858794,0.35821561593531837,Down,ns,ns
SPATA7,1.7742722914871951,2.282897380068836,-0.508625088581641,-4.859544020078811,43.614835533211945,1.5575224476149785e-05,9.48118557252211e-05,0.10894640145490173,0.11398210220057925,ns,ns,ns
ABHD11,2.3267361914288487,2.832517241355941,-0.5057810499270925,-4.859397366964846,43.614835533211945,1.5582699911975695e-05,9.481210495106204e-05,0.10756782107773874,0.11271777976505086,ns,ns,ns
BUB3,4.828077867448823,4.196081145647686,0.6319967218011371,4.855794113569993,43.614835533211945,1.5767485547879545e-05,9.589067391135328e-05,0.176846878122283,0.17625492825828723,Up,ns,ns
LRP8,1.6477022026372894,1.0096509983315505,0.6380512043057389,4.854753742999449,43.614835533211945,1.5821239504942852e-05,9.614481348577475e-05,0.18063068286942413,0.17972512797439977,Up,ns,ns
DCTN5,3.889318408895235,3.3557922036772903,0.5335262052179446,4.854693605849824,43.614835533211945,1.582435219216194e-05,9.614481348577475e-05,0.12168688236571926,0.12566664096364838,ns,ns,ns
PSMD2,6.026987493026203,5.445774898031342,0.5812125949948612,4.853266429873211,43.614835533211945,1.589839991589237e-05,9.654871148922638e-05,0.1473713561876436,0.14922236323834648,ns,ns,ns
MIRLET7BHG,2.1909894049209293,3.2501514316806723,-1.059162026759743,-4.852786771612093,43.614835533211945,1.5923363134939805e-05,9.665428370294495e-05,0.5251052467107001,0.49564934011910877,Down,Down,ns
NXN,4.572982741322389,3.661320826348274,0.9116619149741148,4.851171852455035,43.614835533211945,1.6007693896424868e-05,9.711985139101531e-05,0.3853279833585904,0.3674569380217336,Up,ns,ns
MBD6,3.4828472727596624,4.14345055925499,-0.660603286495328,-4.851026719275459,43.614835533211945,1.60152942425551e-05,9.711985139101531e-05,0.19505142022702276,0.19295066206737368,Down,ns,ns
SLC39A6,5.083249620858746,4.33340109056461,0.7498485302941358,4.8508707523833685,43.614835533211945,1.6023465893910682e-05,9.71232226925109e-05,0.25575399702802454,0.2486221564649878,Up,ns,ns
CYP2J2,0.3742962325318471,1.3079779841469446,-0.9336817516150975,-4.8496815704248615,43.614835533211945,1.6085906545448836e-05,9.74553758546836e-05,0.40517495255805436,0.38565897313829467,Down,ns,ns
SOX21-AS1,0.5246445729842277,1.488672788843231,-0.9640282158590032,-4.8488195736795126,43.614835533211945,1.6131317448042637e-05,9.768408899092485e-05,0.43311343753849557,0.41128189216470395,Down,ns,ns
MCFD2,4.468206520446227,3.9178773438458614,0.5503291766003655,4.848644397990828,43.614835533211945,1.6140561322597335e-05,9.769367752590594e-05,0.13081766816029208,0.1340406592837403,ns,ns,ns
CLEC10A,1.7288692281060387,2.8787952147219285,-1.1499259866158897,-4.848280682029999,43.614835533211945,1.6159770983570354e-05,9.771719267589983e-05,0.622884006722338,0.5853241113901649,Down,Down,ns
TUBA1B,8.519601076572117,7.419866259030773,1.0997348175413446,4.848341439932213,43.614835533211945,1.6156560487923244e-05,9.771719267589983e-05,0.5683720450832134,0.5353301485812352,Up,Up,ns
TMED10,6.161013536721744,5.593582795762254,0.5674307409594901,4.846211252714432,43.614835533211945,1.6269497436383062e-05,9.833407621146597e-05,0.14019838405146942,0.1426438932764803,ns,ns,ns
LRRC26,0.1948195787162195,1.4380771899858864,-1.243257611269667,-4.846033978383843,43.614835533211945,1.6278931045388134e-05,9.834448489902173e-05,0.7313801182386558,0.6848279707443518,Down,Down,ns
RBSN,2.2599438680794948,2.615990204601326,-0.3560463365218314,-4.845522375440681,43.614835533211945,1.630618610204415e-05,9.837319503260441e-05,0.045918168072606735,0.05617770366348047,ns,ns,ns
GRN,7.607742804775285,6.829133616367675,0.7786091884076098,4.845591836191319,43.614835533211945,1.6302483024421832e-05,9.837319503260441e-05,0.2775854970340144,0.26864424274740933,Up,ns,ns
CRNDE,2.4579862765348617,3.118903944504644,-0.6609176679697821,-4.845510400085256,43.614835533211945,1.6306824613732118e-05,9.837319503260441e-05,0.19573147160495988,0.19357435019516156,Down,ns,ns
PLXNB1,3.3516413150148088,4.489423002637555,-1.1377816876227458,-4.843935341149373,43.614835533211945,1.639101993777814e-05,9.883436277375159e-05,0.6105962752899314,0.5740547978346435,Down,Down,ns
MAN2A2,2.6666793045785453,3.4170684272444416,-0.7503891226658963,-4.8423388402157475,43.614835533211945,1.6476798579967422e-05,9.930463718824411e-05,0.25710252600688455,0.24985891818826256,Down,ns,ns
RCC2,4.998035544699284,4.348183903190713,0.6498516415085707,4.8421315330479375,43.614835533211945,1.648796941644548e-05,9.93250231308121e-05,0.18900753165798082,0.18740769624379316,Up,ns,ns
SCARNA6,1.3639859262543594,2.3897111717434103,-1.0257252454890509,-4.841191415175467,43.614835533211945,1.653872180340521e-05,9.958372009387472e-05,0.4939522585681916,0.46707833875074534,Down,Down,ns
ATP1A2,0.6922213559565146,2.216079771167254,-1.5238584152107397,-4.838385365460401,43.614835533211945,1.6691123955192566e-05,0.00010045394233155771,1.1100320402442834,1.0320968918593156,Down,Down,Down
HOXA7,1.6098845790154654,2.2455333184171447,-0.6356487394016792,-4.837853331384442,43.614835533211945,1.672017544307458e-05,0.0001005813195403444,0.1805189582161744,0.1796226631576613,Down,ns,ns
MORC4,2.5417575351129766,3.123441930526273,-0.5816843954132964,-4.837472389478155,43.614835533211945,1.6741007211162895e-05,0.00010065915368409259,0.14870154362723112,0.1504423035850889,ns,ns,ns
GPR84,1.6277467830485757,0.4633479118002059,1.1643988712483697,4.833503710472324,43.614835533211945,1.6959560738216695e-05,0.00010192520174103558,0.6430575881588991,0.6038256888373152,Up,Up,ns
DDX42,4.4643069873862595,4.895365609889985,-0.4310586225037252,-4.833295072938696,43.614835533211945,1.6971127774878525e-05,0.00010194667570090712,0.07490225614299222,0.08275956528560177,ns,ns,ns
CCDC88C,2.0224841672326375,2.5973392276210925,-0.574855060388455,-4.832340083216846,43.614835533211945,1.7024172481061584e-05,0.0001022171712104418,0.14521282966085555,0.14724273726897247,ns,ns,ns
SULF1,4.421310520534882,2.7708965154273604,1.6504140051075216,4.8311287030658505,43.614835533211945,1.7091693407689235e-05,0.00010257428989565215,1.3086849610498104,1.2142852856724768,Up,Up,Up
