,Sample02_DFS20,Sample03_DFS21,Sample04_DFS31,Sample05_DFS32,Sample06_DFS34,Sample07_DFS37,Sample08_DFS39,Sample09_UM#7W4,Sample10_UM#8W4,Sample11_UM#15W0,Sample12_UM#23W0,Sample13_UM#24W0,Sample14_UM#30W4,Sample15_P2#13,Sample16_UM#27W4,Sample17_UM#28W4,Sample18_UM#31W4,Sample19_P2#01,Sample20_P2#03,Sample22_P2#21,Sample01_DFS11,DW1,DW2,DW3,DW4,DW5,DW6,DW7,DW8,DW9,DW10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11
Sample12_UM#23W0,0.30170185494112967,0.3780252628201102,0.1911861705471607,0.2289445848882674,0.3357277371617051,0.3635017620984311,0.33383023817873425,0.1333999764735443,0.12250910484238253,0.2014539903582384,0.0,0.1725127522321298,0.1493103011823359,0.38813596617700663,0.06392506011383015,0.05666138843893542,0.10035046410646842,0.05887639820671009,0.08615185810592763,0.29631064464664647,0.37442464548716825,0.28663013280823724,0.31449550233485424,0.3064627265776074,0.3524864089687628,0.27870122349163373,0.3150128156899459,0.293017900439854,0.3217090076128929,0.302558088116752,0.28728446813910313,0.3913021181893177,0.24554524526261812,0.358070008924677,0.27347017353964687,0.4291174666975597,0.2921385222428753,0.27926843865181417,0.4176786537251851,0.34032597993701885,0.30548193006550783,0.3375826006339038
Sample13_UM#24W0,0.45106688041390663,0.49240981120568206,0.12390927979231048,0.33985926179549497,0.2609420315116203,0.47986517274453866,0.4127781215285816,0.3883734565081889,0.07234733597896637,0.14665083470067752,0.1725127522321298,0.0,0.07252261977020924,0.22241685406938205,0.22804788626986972,0.22278643146712584,0.1973228415190228,0.21270989473166524,0.09321766359834416,0.16601525152227148,0.40832771665457734,0.1731909909320395,0.17503650664385717,0.18631505719261654,0.22669140692994483,0.18277512320456712,0.2028113716079447,0.18363486356134373,0.192713011846117,0.18897845544849745,0.21698299794084352,0.4344023166492258,0.40617912156265945,0.6588169427265542,0.42217163276466607,0.4980144923973483,0.4863406930583921,0.5236425044285444,0.48690366194985446,0.5974334522161062,0.5223267848963136,0.6029954033356759
Sample14_UM#30W4,0.3534397054052594,0.3892292526345249,0.13105097383896436,0.26390997659469484,0.1911245554638672,0.3700749222832491,0.3194544716647435,0.3964213345032259,0.07536332024715697,0.12077340806171899,0.1493103011823359,0.07252261977020924,0.0,0.13869713869709832,0.22091263060030142,0.21369943489749632,0.236473295667182,0.14730239627189667,0.06965419338595369,0.11802372766015867,0.31157019773261263,0.12332046057360224,0.13934083401004582,0.13874372400404222,0.20408245926609092,0.12419927612439718,0.17226518931843726,0.13381043799987924,0.16463750604795913,0.13075744699864034,0.13857182920172506,0.3728423276566112,0.412898679850105,0.6508984812158555,0.3261068174635362,0.42779418921771784,0.41587037922293346,0.5453227458139549,0.40246252936702864,0.5828839249091953,0.4915261103140619,0.5865935613791347
Sample15_P2#13,0.3649805298525457,0.368285508957062,0.23371808600646793,0.28952911345237686,0.15099856365804154,0.3344418885901953,0.289391449988299,0.6469872828902931,0.20706796394756455,0.18672835637763552,0.38813596617700663,0.22241685406938205,0.13869713869709832,0.0,0.4521052124022972,0.44322639019540155,0.5177772200719759,0.32846252841334933,0.2694665151342863,0.08089365140659455,0.23866693133771455,0.14990213099425465,0.12677389811239437,0.15653199790740546,0.19263812718890583,0.13743121310589035,0.17622537158013185,0.15922200838135347,0.20661562964930835,0.15901113864007133,0.16030645314763292,0.35960907573063816,0.5661466984246646,0.885855111002323,0.3433896824049667,0.4179089359668131,0.4827251995519438,0.7862319660252458,0.38425669623353065,0.7809249100055234,0.6316496792954163,0.7794427813418381
Sample16_UM#27W4,0.34975655523170424,0.4269904179092865,0.2570811688620305,0.27167323060658777,0.39149148718462823,0.3984299860364503,0.37685423532651285,0.08838211684344177,0.15343600205174168,0.20301233217817694,0.06392506011383015,0.22804788626986972,0.22091263060030142,0.4521052124022972,0.0,0.0053180663827997465,0.10867301645535465,0.10776116844853545,0.1527074658964963,0.3665028651237977,0.41887818917983466,0.3553884005656073,0.3772310958315599,0.34606360199703545,0.41256528455019037,0.3241150309152375,0.3514680429618249,0.35709288312518284,0.38121379085459606,0.35084821944273437,0.3382474647302932,0.4483177931685207,0.26491644738565356,0.33943761737103995,0.2913673789624829,0.47040912169876914,0.28251085555049604,0.28238780003975184,0.45601456641210547,0.33503804013889316,0.27955765202021277,0.31339379651166743
Sample17_UM#28W4,0.3390409436988422,0.41650697537823134,0.2559211162969607,0.2551139647491951,0.38670037426797044,0.39020906382643383,0.37280911754973944,0.08899824530420952,0.1542616638867711,0.21452723412713393,0.05666138843893542,0.22278643146712584,0.21369943489749632,0.44322639019540155,0.0053180663827997465,0.0,0.10505603599112068,0.09639262538359183,0.14598454142106643,0.35715238595900256,0.4159006636271715,0.35181246411978706,0.3764223475340308,0.344574703458013,0.41206880813410807,0.3189134652274388,0.34918967577757276,0.35292629172197754,0.382410443143435,0.3459779527310305,0.3300952856004403,0.44352634638072685,0.2593791422353059,0.3343264883279504,0.28059467107045766,0.4644865649540981,0.2729302824674772,0.27714052385539856,0.44774237059132516,0.3284244820468517,0.27536587207722185,0.30918670145570637
Sample18_UM#31W4,0.5126369092108074,0.5744014016204837,0.31460337183935105,0.41995048782112865,0.4977638237454459,0.558278032669185,0.5257559784951283,0.20412793000360452,0.17562792827949625,0.29705353475566454,0.10035046410646842,0.1973228415190228,0.236473295667182,0.5177772200719759,0.10867301645535465,0.10505603599112068,0.0,0.21462650846637488,0.14490170016987103,0.3858048872767773,0.5623591368774589,0.3979949742401706,0.4331906025384422,0.41442202800154504,0.4463629486962336,0.4024986968954154,0.4208004818989741,0.40268934334124107,0.4160102982200601,0.4111287690079204,0.4127500657862804,0.4855613912379242,0.33671255657974464,0.4353254986861058,0.4230351069839051,0.5208799643900448,0.41468408101841936,0.3436120762718219,0.520482775151079,0.41445438750486363,0.40314554127449165,0.43267303390399714
Sample19_P2#01,0.21708373140902804,0.29661081279971746,0.17962426401120257,0.15821944505867136,0.26327647280572497,0.28954814536472007,0.2580165759490839,0.1867046186372503,0.15013042542597554,0.2086498104166672,0.05887639820671009,0.21270989473166524,0.14730239627189667,0.32846252841334933,0.10776116844853545,0.09639262538359183,0.21462650846637488,0.0,0.10970729615164465,0.2881752854540486,0.2931414110888524,0.26437116320756815,0.280503514434569,0.2748119824794687,0.3299618627147046,0.24326791554178206,0.2899030444585279,0.2693775057485539,0.30973284669197376,0.2712989528543782,0.2433403682673757,0.3692256396397098,0.27066166974049854,0.3764506259970939,0.2273138839004476,0.3911792764583266,0.2544372594456832,0.3272192483852552,0.370572202865447,0.3600018674996679,0.2914381622252673,0.3443590586439379
Sample20_P2#03,0.375294153577752,0.4318256886316528,0.1682414253840675,0.30106454783439673,0.286204115372643,0.4367889070871793,0.36901294669709495,0.30855428688801834,0.09681225879092703,0.19186568313558594,0.08615185810592763,0.09321766359834416,0.06965419338595369,0.2694665151342863,0.1527074658964963,0.14598454142106643,0.14490170016987103,0.10970729615164465,0.0,0.21195124864766324,0.3861675563579592,0.21174645140527937,0.23296780304033482,0.22743979518232593,0.29653627912447944,0.20971044158152574,0.2521652562500848,0.21860448422025125,0.250020624484648,0.22019105597243804,0.21704796649980262,0.3890260677184386,0.35018606625964,0.5323784311750495,0.33158206870476437,0.43809766966275265,0.3947454870520305,0.43435943750276296,0.41901215199985364,0.48189400291382967,0.4327221988016259,0.4944718205128553
Sample22_P2#21,0.36062113787305794,0.36950643381759785,0.21343741183560205,0.2600693602449664,0.14994800756016857,0.32370113722066496,0.29325660937111075,0.5509446271329763,0.17867679124749924,0.19348604507713707,0.29631064464664647,0.16601525152227148,0.11802372766015867,0.08089365140659455,0.3665028651237977,0.35715238595900256,0.3858048872767773,0.2881752854540486,0.21195124864766324,0.0,0.23689103885874896,0.1870069099014301,0.15849826263428246,0.19634131678804512,0.22055315473287385,0.1706214964715952,0.2299203596973497,0.18676344529482902,0.23635593878464767,0.18641888060003353,0.19933579794783918,0.3291592363535396,0.47975244085010416,0.7435038883008784,0.31062412871291445,0.39179721478818286,0.40932906213946063,0.6145764072455107,0.3644143229988759,0.6211670409985653,0.5356123338326795,0.6311410101200666
Sample01_DFS11,0.12420165706178554,0.13768147514335405,0.3001999386463089,0.19561715343603447,0.14821246211458539,0.11325217596968118,0.06762493273878978,0.4893457939459419,0.3326740658668813,0.2977768208750845,0.37442464548716825,0.40832771665457734,0.31157019773261263,0.23866693133771455,0.41887818917983466,0.4159006636271715,0.5623591368774589,0.2931414110888524,0.3861675563579592,0.23689103885874896,0.0,0.3449403309415072,0.28002049242721405,0.3545836660053644,0.29074462758751507,0.3182311218285947,0.3395459806120036,0.35146046565328715,0.3976789300837291,0.35721807646029646,0.3270920933651964,0.24639720678227184,0.42405643693597816,0.5374564843005807,0.2198549814755053,0.27592542311209955,0.25424046788491983,0.5081268412387441,0.24365355771692454,0.45160599831432113,0.36099156119723874,0.4517727097223435
DW1,0.3890478553917882,0.4215241280423341,0.15581073454477645,0.32207479669500094,0.22330753183960128,0.4191239861101659,0.34004427898354384,0.48936364564529855,0.14365175108243655,0.13864586016106406,0.28663013280823724,0.1731909909320395,0.12332046057360224,0.14990213099425465,0.3553884005656073,0.35181246411978706,0.3979949742401706,0.26437116320756815,0.21174645140527937,0.1870069099014301,0.3449403309415072,0.0,0.07813962499513061,0.07896315237490548,0.1822405558827893,0.08207661079746464,0.10433386726221783,0.06918030371284367,0.06442873329166865,0.09422375301752894,0.10620720180511745,0.5102428105994622,0.5863467105528395,0.8821087711564429,0.5079547123328623,0.5839429472530875,0.6213528445546643,0.7536499119545577,0.5660007158527868,0.8265271431665253,0.7052279647561963,0.8223166227357287
DW2,0.37034862375734046,0.3935827787925731,0.14566697647932048,0.30663634361715997,0.16231380070538537,0.37528703675792885,0.2940080579930914,0.5151936230764431,0.1603179065446909,0.14118295757490806,0.31449550233485424,0.17503650664385717,0.13934083401004582,0.12677389811239437,0.3772310958315599,0.3764223475340308,0.4331906025384422,0.280503514434569,0.23296780304033482,0.15849826263428246,0.28002049242721405,0.07813962499513061,0.0,0.11343553518444838,0.14501204141100255,0.10180402375165154,0.12127219648367604,0.08747520060284952,0.09787573413138384,0.1283392584730363,0.15889661250924214,0.4454984616841303,0.5706955185277023,0.8645058767960376,0.46530473153954743,0.5235915790100678,0.5848074144855853,0.7405921148116794,0.5016935278041947,0.7983245889174362,0.673858899771488,0.7869470910236827
DW3,0.40626006550274585,0.4364471199822466,0.18287413657626728,0.31103815472745067,0.2163844300176856,0.4080875017463159,0.3584804020265344,0.4904082116601106,0.15936507626359053,0.13890788320355563,0.3064627265776074,0.18631505719261654,0.13874372400404222,0.15653199790740546,0.34606360199703545,0.344574703458013,0.41442202800154504,0.2748119824794687,0.22743979518232593,0.19634131678804512,0.3545836660053644,0.07896315237490548,0.11343553518444838,0.0,0.23445351673463877,0.06529519040730969,0.0858913981922681,0.07458155341004225,0.10177660156189539,0.08130077342970166,0.08052407436315878,0.532775001665829,0.6043337049508486,0.8828723529284869,0.514090218296362,0.6245527230340173,0.6307721294964396,0.7634190066732063,0.5988151294896757,0.824488701835715,0.6868622606264826,0.8041420395146675
DW4,0.3940889118483687,0.4134536667113806,0.19270843220866773,0.34341956892288583,0.19341218335522847,0.38431446838589567,0.32279729710288574,0.5300752850991431,0.20825786792098266,0.18970002163414135,0.3524864089687628,0.22669140692994483,0.20408245926609092,0.19263812718890583,0.41256528455019037,0.41206880813410807,0.4463629486962336,0.3299618627147046,0.29653627912447944,0.22055315473287385,0.29074462758751507,0.1822405558827893,0.14501204141100255,0.23445351673463877,0.0,0.24318552281786288,0.23100700853979017,0.20372953380891057,0.18493257407987462,0.24380234251040078,0.27588000751197617,0.2919915505277,0.5913328222206593,0.8691452541018277,0.46810700496590496,0.36317574033958366,0.5823936749983369,0.7495955593372776,0.35922702116698735,0.782000631007596,0.6751124973408792,0.808833737585791
DW5,0.350719104917939,0.37938047853259915,0.17716568007824884,0.2664904651037302,0.20968637974634663,0.3748455085871101,0.31341790891653054,0.4620353871866155,0.15782360560982522,0.14148187793661582,0.27870122349163373,0.18277512320456712,0.12419927612439718,0.13743121310589035,0.3241150309152375,0.3189134652274388,0.4024986968954154,0.24326791554178206,0.20971044158152574,0.1706214964715952,0.3182311218285947,0.08207661079746464,0.10180402375165154,0.06529519040730969,0.24318552281786288,0.0,0.07975109713623663,0.08348965776028239,0.13329696832630578,0.10636022129101941,0.0885668409781436,0.5015936431068615,0.5685652930739344,0.8215221290791752,0.44657387132439397,0.5726098807628706,0.5596711352223448,0.725512983823205,0.5369012462894271,0.7673999380873915,0.6350154047487397,0.7348236096240706
DW6,0.3823621269038645,0.40914203833522844,0.18360616224758464,0.31177067660252755,0.22584374012675612,0.39301754206792605,0.3272130518003007,0.47808312887622817,0.16857482167949256,0.15022133319042952,0.3150128156899459,0.2028113716079447,0.17226518931843726,0.17622537158013185,0.3514680429618249,0.34918967577757276,0.4208004818989741,0.2899030444585279,0.2521652562500848,0.2299203596973497,0.3395459806120036,0.10433386726221783,0.12127219648367604,0.0858913981922681,0.23100700853979017,0.07975109713623663,0.0,0.12044031793151921,0.1411602204157134,0.155543510281001,0.11772982662232345,0.49925358022779454,0.5855165236213518,0.8522464568346967,0.5090090638682234,0.5957945028455531,0.6031748027290742,0.7575488785945761,0.5684889361089376,0.8079327578284072,0.6500621064925469,0.7865429268282651
DW7,0.4038547022382005,0.43315140678480835,0.16870620483367083,0.30866315757348406,0.21588378856777335,0.4068455502486764,0.3591987939756134,0.4950187056921359,0.1621562926543214,0.15347226366841804,0.293017900439854,0.18363486356134373,0.13381043799987924,0.15922200838135347,0.35709288312518284,0.35292629172197754,0.40268934334124107,0.2693775057485539,0.21860448422025125,0.18676344529482902,0.35146046565328715,0.06918030371284367,0.08747520060284952,0.07458155341004225,0.20372953380891057,0.08348965776028239,0.12044031793151921,0.0,0.061511924390929895,0.09749027817390998,0.11941477306648152,0.5038386250844514,0.6110154921108983,0.885177448536859,0.5121220199686889,0.5902983928995766,0.6309469682425904,0.7646361714111504,0.5708763071084849,0.8319199865022014,0.7057301966501857,0.8106345902860765
DW8,0.45303149784809926,0.48340624646113617,0.17151002023737505,0.3744947611791837,0.2556050426800802,0.4688529448706389,0.39632571006203465,0.5098274019067577,0.1710674231781013,0.1624862145918783,0.3217090076128929,0.192713011846117,0.16463750604795913,0.20661562964930835,0.38121379085459606,0.382410443143435,0.4160102982200601,0.30973284669197376,0.250020624484648,0.23635593878464767,0.3976789300837291,0.06442873329166865,0.09787573413138384,0.10177660156189539,0.18493257407987462,0.13329696832630578,0.1411602204157134,0.061511924390929895,0.0,0.11573300899120353,0.16714539992534383,0.5538308471352682,0.614069060245799,0.9261884573260039,0.5969912157676371,0.6283391802818996,0.7022160426086979,0.7871356487041962,0.6229376602233654,0.8751511188257757,0.7681180716805354,0.872415158867598
DW9,0.40620335152813003,0.43430318481684516,0.21108813119224512,0.33259320365826905,0.24480264178375666,0.4132933424626267,0.3694952381378692,0.503462518877541,0.17712144250359663,0.1747299112697659,0.302558088116752,0.18897845544849745,0.13075744699864034,0.15901113864007133,0.35084821944273437,0.3459779527310305,0.4111287690079204,0.2712989528543782,0.22019105597243804,0.18641888060003353,0.35721807646029646,0.09422375301752894,0.1283392584730363,0.08130077342970166,0.24380234251040078,0.10636022129101941,0.155543510281001,0.09749027817390998,0.11573300899120353,0.0,0.07485670186818927,0.5285141358520156,0.6214139857560521,0.8744752652873093,0.48641450451525725,0.5993818861171059,0.6060242957567413,0.7711042852565939,0.5757834615662745,0.826555245722429,0.7133330235228856,0.8032175127060656
DW10,0.3594057864960637,0.3925705626311231,0.2265725070955611,0.28583795700801906,0.23100428779152105,0.37505889135325055,0.3317200548123256,0.4784195448937666,0.1838994017723703,0.18018308575974695,0.28728446813910313,0.21698299794084352,0.13857182920172506,0.16030645314763292,0.3382474647302932,0.3300952856004403,0.4127500657862804,0.2433403682673757,0.21704796649980262,0.19933579794783918,0.3270920933651964,0.10620720180511745,0.15889661250924214,0.08052407436315878,0.27588000751197617,0.0885668409781436,0.11772982662232345,0.11941477306648152,0.16714539992534383,0.07485670186818927,0.0,0.5021211562020277,0.621507996247745,0.8265426620233775,0.4383955911949263,0.5719730151136332,0.5468743925495212,0.7583204809514158,0.5309674239111077,0.7837047847184093,0.6474902269777291,0.7564916785394806
N1,0.3237001444567964,0.3352620467225279,0.39398053983735126,0.3529241076658858,0.29554101147161915,0.30506724905544336,0.2994189438617678,0.5343747321635146,0.4037369069426928,0.4192553380386562,0.3913021181893177,0.4344023166492258,0.3728423276566112,0.35960907573063816,0.4483177931685207,0.44352634638072685,0.4855613912379242,0.3692256396397098,0.3890260677184386,0.3291592363535396,0.24639720678227184,0.5102428105994622,0.4454984616841303,0.532775001665829,0.2919915505277,0.5015936431068615,0.49925358022779454,0.5038386250844514,0.5538308471352682,0.5285141358520156,0.5021211562020277,0.0,0.49354748924504255,0.6440935444710814,0.2881618019344149,0.08455547150538156,0.3839437784259223,0.5970306346797736,0.0807746460038189,0.539739661699709,0.4887584109059725,0.5819103025866821
N2,0.29542571026337927,0.32873765377580977,0.3739479111916042,0.33659160358855844,0.4752646983709009,0.3594156968329766,0.3408261128472224,0.2822872194406255,0.3537900847450647,0.40876390081645964,0.24554524526261812,0.40617912156265945,0.412898679850105,0.5661466984246646,0.26491644738565356,0.2593791422353059,0.33671255657974464,0.27066166974049854,0.35018606625964,0.47975244085010416,0.42405643693597816,0.5863467105528395,0.5706955185277023,0.6043337049508486,0.5913328222206593,0.5685652930739344,0.5855165236213518,0.6110154921108983,0.614069060245799,0.6214139857560521,0.621507996247745,0.49354748924504255,0.0,0.2229071963250543,0.2695977773893973,0.5024479441619186,0.2664678371041994,0.15316221309693556,0.521111997199522,0.22552699727492997,0.24651293283904363,0.22553923763614214
