,Sample02_DFS20,Sample03_DFS21,Sample04_DFS31,Sample05_DFS32,Sample06_DFS34,Sample07_DFS37,Sample08_DFS39,Sample09_UM#7W4,Sample10_UM#8W4,Sample11_UM#15W0,Sample12_UM#23W0,Sample13_UM#24W0,Sample14_UM#30W4,Sample15_P2#13,Sample16_UM#27W4,Sample17_UM#28W4,Sample18_UM#31W4,Sample19_P2#01,Sample20_P2#03,Sample22_P2#21,Sample01_DFS11,DW1,DW2,DW3,DW4,DW5,DW6,DW7,DW8,DW9,DW10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11
Sample12_UM#23W0,0.15151662133645127,0.20348488400398368,0.10840338182726139,0.1482661905606757,0.2352941815868077,0.20706581618319853,0.16188469098122849,0.05236599227392835,0.08082768524276629,0.14787943061729958,0.0,0.11633978702219927,0.0888001118984445,0.3246916477726245,0.027149872904381422,0.024614586206717082,0.048021915218025124,0.026044704052645584,0.05029860686113452,0.22056910611074054,0.2025781641591381,1.0104239827285897,1.0164086663260141,0.9972011326797128,1.0591188532712048,0.9921922522499715,1.0180504318854875,1.0014446043164829,1.0098609833396697,0.9754179239635672,0.9825995188029751,1.040264987134616,0.6423010308295585,0.4447693427017567,0.8394167995989038,1.0333562610847433,0.7349410758999309,0.45455573395284343,1.030994212288654,0.5762778155592638,0.642745571716364,0.5323766935556162
Sample13_UM#24W0,0.2945592142064396,0.3276505710451445,0.08232371246304637,0.24031449099853153,0.19642419417502155,0.3278104113980391,0.2597938997858017,0.2214043007298494,0.05362437145764043,0.11355785219134973,0.11633978702219927,0.0,0.05034086083277134,0.1832327122105326,0.1381491243268369,0.13517730536152628,0.13082026287918436,0.14093176571058819,0.06973004825502893,0.12097751293626591,0.27255491334921433,0.8200871285181917,0.8113450788972774,0.80968287301081,0.8676441380843811,0.813048287154591,0.8307432861613474,0.8165725343414268,0.8119979513679523,0.7878640387416234,0.8180746595532462,0.9351476095449676,0.5895395952721172,0.5280757743684814,0.7918274541598664,0.9413164082514679,0.7180085681679491,0.4797020570382188,0.9419530382675081,0.6137476085322122,0.6459463967594976,0.589785602019874
Sample14_UM#30W4,0.22760574874391692,0.2534382890044463,0.09057214415239667,0.18813257213688594,0.15379803714305262,0.24946309397231103,0.20244478444348712,0.20208076076047388,0.05203623034076277,0.09462901617575081,0.0888001118984445,0.05034086083277134,0.0,0.14035942528936163,0.11417430619792723,0.11082456988311329,0.13949409356578546,0.08902835452079438,0.044620453563660845,0.10357529063184678,0.2089845046853379,0.7708659574790271,0.7719300425313913,0.7587531486101929,0.8339749083813424,0.7562723074166242,0.7928184558588881,0.7660628468858419,0.7764522346687566,0.7302903433516422,0.7484857506471263,0.8715429684560281,0.5449150681175259,0.44876056614457227,0.6891915938717881,0.8692826448749054,0.6182267003920134,0.43034112950159153,0.8608018549313583,0.534120589102562,0.5642291553674945,0.5064123163991722
Sample15_P2#13,0.35727682644738135,0.35689410198242844,0.22945559778657598,0.2653966334469581,0.16310467000564444,0.3247856086886587,0.300513820738197,0.4647137609952231,0.18678004496629963,0.1826112298073247,0.3246916477726245,0.1832327122105326,0.14035942528936163,0.0,0.33996982933506403,0.33211393313261917,0.4041280265028514,0.29231701808365207,0.24370317984612455,0.08689219593591901,0.26027921385302233,0.5777362927066074,0.5523174979694061,0.5621678983883925,0.6292936686712909,0.5503934144726046,0.5859762865334089,0.5724753322975578,0.5993666880873748,0.5429683558085392,0.5493216096207133,0.6860877277767949,0.45996664276716115,0.4906986264570893,0.5045887344035075,0.6891035136822913,0.4712266341149979,0.4548113757929181,0.6704359250886225,0.5214026385452448,0.48568182314176533,0.49469549517601885
Sample16_UM#27W4,0.16643567822149374,0.21840608567632724,0.13322121671270948,0.1603954169315447,0.24678950279236134,0.21545937962638484,0.174222291095667,0.03915402466943185,0.08519163351361914,0.134884931484347,0.027149872904381422,0.1381491243268369,0.11417430619792723,0.33996982933506403,0.0,0.0028471485503194227,0.05620469322173682,0.04166363318738164,0.07570892809890484,0.2430048077862874,0.2129255022593225,1.0152809398704763,1.0200587997026878,0.9904947636007329,1.065333565006058,0.9884625222793546,1.0116560618825017,1.0050128387527435,1.0146269319932744,0.9705186732776084,0.9780287893468721,1.0463032402781527,0.6487814605605777,0.4374601121244832,0.8270140867205095,1.0331762451495947,0.7113980982627883,0.4594853836414655,1.0275919631456463,0.5682306024557018,0.6172956057962539,0.5167885260789395
Sample17_UM#28W4,0.16277377780820146,0.21438175964641182,0.13404271691324465,0.15049533237699486,0.24450248673008534,0.2108843108981755,0.17211083929067705,0.03996706304203412,0.08600167525266189,0.1414211568004765,0.024614586206717082,0.13517730536152628,0.11082456988311329,0.33211393313261917,0.0028471485503194227,0.0,0.054477033132248276,0.0379809265260046,0.07448750263576187,0.23433200324878922,0.21267824148446635,1.0244360297035393,1.0299952415981264,1.0001146629795288,1.075131809517512,0.9965803837510483,1.020556202433294,1.0136052150592443,1.0252036837254892,0.9788381691240795,0.9851754148047864,1.0552511074412476,0.6537456286793519,0.4425101942007895,0.8320783362602013,1.0421007081971092,0.7160170673620504,0.4633837964055171,1.0357705069648289,0.573455766975655,0.6242759577644101,0.5227375477250101
Sample18_UM#31W4,0.25748163202546626,0.3085933099069812,0.177919259283579,0.24666641648893706,0.33605074154959547,0.31286333217961837,0.2584573496017991,0.09264193286150613,0.11224124742626551,0.21166961945115714,0.048021915218025124,0.13082026287918436,0.13949409356578546,0.4041280265028514,0.05620469322173682,0.054477033132248276,0.0,0.09894603383556655,0.07999433259586519,0.2689310651858391,0.3118347406005073,1.109089475902211,1.119320409360766,1.0972485128999545,1.1460666577448135,1.098873038510894,1.115064231104216,1.1018450152193728,1.1030699334157166,1.0736020237201824,1.0892050598509628,1.1306380480649862,0.7537674641940451,0.5591946689282796,0.9696295665407515,1.1226591430665238,0.8600121066209719,0.561144933780708,1.1282213401147554,0.6853503795212801,0.7616712967133961,0.6585852284248923
Sample19_P2#01,0.1102843906336265,0.1600292295041421,0.10629208677573687,0.1145876990239314,0.1938709213193447,0.1701895803147756,0.12597318119164946,0.06838474340213152,0.09656711855047517,0.1483545411408942,0.026044704052645584,0.14093176571058819,0.08902835452079438,0.29231701808365207,0.04166363318738164,0.0379809265260046,0.09894603383556655,0.0,0.06285490551710382,0.22115409643381712,0.15974775602930258,0.9619480462455647,0.9617775446493217,0.9431389892394633,1.0139189968686582,0.9357986561168757,0.9685759965613876,0.9514099925636017,0.9659435046899241,0.9226337015691404,0.9247896927891692,0.9888710304774909,0.6023487466661845,0.3992664957679234,0.7673016683439875,0.9748117014800063,0.660139387115598,0.42866490515509936,0.9665590816751908,0.5293144485795815,0.5793258500904801,0.4794535917280539
Sample20_P2#03,0.21495697118170354,0.25686283741400917,0.10286063350600516,0.21196025906179572,0.21691883959724434,0.2762746625827277,0.20437053572691777,0.1472975111118161,0.0682762605952486,0.142248668178377,0.05029860686113452,0.06973004825502893,0.044620453563660845,0.24370317984612455,0.07570892809890484,0.07448750263576187,0.07999433259586519,0.06285490551710382,0.0,0.17460801813338123,0.23051003025223848,0.8882554417775376,0.8917877894305202,0.8743301921500729,0.9508304195650136,0.8733505744660599,0.9055966568666323,0.8819266768352978,0.8913720837117526,0.8481823401542932,0.8617736745470548,0.9516836302672079,0.608464100411226,0.46262484647832447,0.7743462005900525,0.9477526718568728,0.6960086866256817,0.45940499426423476,0.9429456554989166,0.5622457239477152,0.6174484027148939,0.5375996132481387
Sample22_P2#21,0.30156824275035365,0.31150378735811146,0.1824597787229193,0.19931654569863733,0.14647799437409192,0.26946253181966906,0.25536338709923245,0.3503168225176102,0.14659244069687327,0.17923103220263015,0.22056910611074054,0.12097751293626591,0.10357529063184678,0.08689219593591901,0.2430048077862874,0.23433200324878922,0.2689310651858391,0.22115409643381712,0.17460801813338123,0.0,0.22380487847158226,0.7670079908083561,0.7422354651760079,0.7526269635662737,0.806618821396911,0.7375142524839239,0.7841805814439827,0.754600156402295,0.7806171456883781,0.7230489198561034,0.740695454302794,0.824567582502551,0.5547631277770901,0.49193604015846626,0.6504593029217882,0.8300939470582855,0.5752166010264543,0.43762230637348143,0.8165592892728467,0.5348234497773885,0.567245481608686,0.5037883468212119
